OrderDate,RequiredDate,ShippedDate,OrderFreight,OrderShipName,OrderShipAddress,OrderShipCity,OrderShipRegion,OrderShipPostalCode,OrderShipCountry,OrderUnitPrice,OrderQuantity,OrderDiscount,shippercompanyname,ShipperPhone,ProductName,QuantityPerUnitOfProduct,UnitPriceOfProduct,UnitsInStockOfProduct,UnitsOnOrderOfProduct,ProductReorderLevel,DiscontinuedProduct,SupplierCompanyName,SupplierContactName,SupplierContactTitle,SupplierAddress,SupplierCity,SupplierRegion,supplierpostalcode,SupplierCountry,SupplierPhone,SupplierPhone2,SupplierHomePage,CategoryName,CategoryDescription,CategoryPicture
1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,14,12,0,Federal Shipping,(503) 555-9931,Queso Cabrales,1 kg pkg.,21,22,30,30,0,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,,,Dairy Products,Cheeses,""
1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,9.8,10,0,Federal Shipping,(503) 555-9931,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14,26,0,0,1,Leka Trading,Chandra Leka,Owner,"471 Serangoon Loop, Suite #402",Singapore,,0512,Singapore,555-8787,,,Grains/Cereals,"Breads, crackers, pasta, and cereal",""
1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,34.8,5,0,Federal Shipping,(503) 555-9931,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,14,0,0,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,""
1996-07-05,1996-08-16,1996-07-10,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,18.6,9,0,Speedy Express,(503) 555-9831,Tofu,40 - 100 g pkgs.,23.25,35,0,0,0,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,,545,Japan,(06) 431-7877,,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,Produce,Dried fruit and bean curd,""
1996-07-05,1996-08-16,1996-07-10,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,42.4,40,0,Speedy Express,(503) 555-9831,Manjimup Dried Apples,50 - 300 g pkgs.,53,20,0,10,0,"G'day, Mate",Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Produce,Dried fruit and bean curd,""
1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,7.7,10,0,United Package,(503) 555-3199,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,85,0,10,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,,Seafood,Seaweed and fish,""
1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,42.4,35,0.15,United Package,(503) 555-3199,Manjimup Dried Apples,50 - 300 g pkgs.,53,20,0,10,0,"G'day, Mate",Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Produce,Dried fruit and bean curd,""
1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,16.8,15,0.15,United Package,(503) 555-3199,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,76,0,0,0,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,16.8,6,0.05,Speedy Express,(503) 555-9831,Gustaf's Knäckebröd,24 - 500 g pkgs.,21,104,0,25,0,PB Knäckebröd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Göteborg,,S-345 67,Sweden,031-987 65 43,031-987 65 91,,Grains/Cereals,"Breads, crackers, pasta, and cereal",""
1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,15.6,15,0.05,Speedy Express,(503) 555-9831,Ravioli Angelo,24 - 250 g pkgs.,19.5,36,0,20,0,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,"Via dei Gelsomini, 153",Salerno,,84100,Italy,(089) 6547665,(089) 6547667,,Grains/Cereals,"Breads, crackers, pasta, and cereal",""
